id,age1,salary,Num_Citylived,jobtype,dv_jt_other,dv_jt_govt,dv_jt_biz,dv_jt_pvt,Payer,dv_payer_parents,dv_payer_self,dv_payer_company,ClsRelativesCnt,Travel,dv_travel_low,dv_travel_medium,dv_travel_high,RelativesAbroad,dv_Rel_yes,dv_Rel_No,AvgBill
86,19,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,367.25
87,20,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,303.25
88,16,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,195.25
89,15,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,306.25
90,15,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,432.25
91,18,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,456.25
92,19,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,370.25
93,15,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,291.25
94,15,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,273.25
95,21,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,470.25
96,16,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,209.25
97,15,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,453.25
98,15,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,321.25
99,15,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,437.25
100,16,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,324.25
101,20,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,408.25
102,15,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,294.25
103,16,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,419.25
104,16,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,376.25
105,19,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,447.25
106,18,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,289.25
107,18,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,317.25
108,19,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,205.25
109,20,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,371.25
110,21,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,349.25
111,20,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,234.25
112,16,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,383.25
113,19,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,274.25
114,21,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,380.25
115,16,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,185.25
116,16,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,393.25
117,21,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,269.25
118,17,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,348.25
119,21,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,309.25
120,20,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,297.25
121,15,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,348.25
122,18,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,355.25
123,17,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,382.25
124,20,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,305.25
125,19,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,367.25
126,17,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,273.25
127,16,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,449.25
128,19,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,464.25
129,15,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,343.25
130,15,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,412.25
131,21,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,369.25
132,19,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,229.25
133,19,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,334.25
134,16,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,306.25
135,21,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,188.25
136,18,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,400.25
137,17,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,296.25
138,21,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,458.25
139,21,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,393.25
140,20,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,310.25
141,20,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,184.25
142,18,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,312.25
143,19,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,315.25
144,20,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,408.25
145,20,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,309.25
146,19,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,210.25
147,19,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,454.25
148,18,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,380.25
149,16,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,455.25
150,18,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,352.25
151,17,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,248.25
152,17,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,217.25
153,17,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,321.25
154,18,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,333.25
155,16,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,332.25
156,15,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,267.25
157,21,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,432.25
158,18,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,455.25
159,16,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,374.25
160,17,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,349.25
161,15,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,295.25
162,15,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,314.25
163,16,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,304.25
164,20,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,268.25
165,20,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,402.25
166,19,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,404.25
167,21,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,329.25
168,20,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,294.25
169,21,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,192.25
170,18,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,398.25
171,20,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,309.25
172,15,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,462.25
173,17,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,356.25
174,16,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,373.25
175,16,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,438.25
176,18,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,194.25
177,21,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,253.25
178,15,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,380.25
179,15,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,409.25
180,18,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,437.25
181,17,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,194.25
182,17,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,213.25
183,19,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,270.25
184,19,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,190.25
185,20,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,409.25
186,21,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,228.25
187,15,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,457.25
188,16,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,365.25
189,21,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,471.25
190,19,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,326.25
191,15,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,441.25
192,18,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,399.25
193,21,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,296.25
194,16,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,353.25
195,15,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,425.25
196,15,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,382.25
197,16,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,399.25
198,15,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,369.25
199,19,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,342.25
200,21,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,406.25
201,17,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,282.25
202,18,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,274.25
203,18,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,339.25
204,21,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,303.25
205,20,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,265.25
206,21,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,442.25
207,21,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,352.25
208,20,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,299.25
209,16,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,222.25
210,30,40000,3,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,643
211,48,40000,3,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,425.25
212,45,60000,4,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,697.75
213,31,60000,2,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,541.75
214,45,100000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,700
215,30,80000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,593
216,51,60000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,568
217,53,80000,3,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,549
218,56,60000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,583.5
219,41,40000,1,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,495
220,50,80000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,594.25
221,23,40000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,633.25
222,26,100000,2,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,709.75
223,59,80000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,556.75
224,54,100000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,637.75
225,32,40000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,719
226,35,100000,2,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,693.75
227,62,40000,1,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,449.5
228,45,40000,3,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,480.25
229,40,60000,4,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,776.75
